25 500
2010 2339 266
3047 1216 252
383 3469 275
1151 3009 195
1989 270 324
1707 1146 203
845 2080 319
3197 1849 170
207 129 271
907 2908 175
659 458 311
1582 1082 339
1358 2829 254
1985 2505 336
1593 3341 269
3019 1323 315
1189 3072 261
2387 196 207
2593 3339 173
2524 3377 242
2087 2979 262
2788 1851 284
1424 3159 292
972 803 217
3023 2568 273
2856 526 9
1831 1870 14
1194 302 12
376 3242 10
3333 2002 14
1402 3407 10
2972 2660 8
2492 615 15
3040 2911 13
634 3050 8
1125 1335 10
1637 2291 13
917 3337 10
3078 3394 12
1520 1483 10
3052 2789 9
3340 2559 15
1916 2388 11
1609 3158 16
580 268 11
713 2403 13
252 3232 11
1273 1372 16
2619 1462 13
1290 1704 10
2787 1470 8
934 869 11
1671 2401 12
3218 606 16
3404 2630 9
1344 657 14
183 967 14
2787 2817 15
671 3312 16
2416 1820 10
3124 2189 15
197 2653 16
684 229 14
1520 2265 8
639 2385 16
2643 35 10
3057 2471 8
121 176 16
1176 2456 10
2324 3056 10
3319 3232 14
3378 1162 9
3085 2207 11
2923 2236 15
1858 1966 8
1726 591 13
3444 2326 15
1859 2163 13
2050 1343 16
2820 805 16
2899 103 13
1254 235 8
2909 3258 14
96 1366 11
2996 1791 15
2290 2718 12
2937 2238 15
3286 3462 12
1843 359 15
374 95 8
71 2515 16
1592 1098 12
112 2691 8
3011 3072 16
922 3277 15
677 632 14
53 345 12
2004 2223 16
1846 3219 8
2636 1114 15
1124 2713 16
400 205 15
627 428 13
2620 1052 8
1231 2197 14
3334 1191 11
207 1449 12
706 2717 9
582 2118 14
2895 2875 9
488 1756 10
1133 3089 11
2720 1313 15
2151 2938 12
1792 3287 8
1614 893 9
719 3100 14
2447 2677 9
728 1523 10
3180 2403 15
76 1159 8
3341 3081 16
3149 2739 8
2531 2262 14
354 1844 10
3299 2396 14
2552 79 8
2225 3200 16
81 1887 14
2446 691 14
1455 2035 15
2458 2262 12
3003 3054 13
831 479 10
1047 331 10
1726 871 14
2850 792 15
1624 2966 14
569 706 13
1168 1386 16
2666 2103 9
583 1665 12
1575 3218 8
2096 576 10
1292 3363 11
3102 857 16
2455 936 15
1609 2427 11
1042 2751 10
1218 625 14
1471 1686 12
2709 2112 13
2380 2338 10
2115 718 9
923 577 11
2793 194 9
171 1007 12
2102 1995 15
644 2754 15
193 2938 8
19 1202 15
1570 3226 13
2853 3386 16
87 2013 8
2878 2530 13
848 3364 13
692 2062 11
3118 411 14
2420 2699 13
1714 3426 13
3186 358 13
111 1954 10
1286 2680 10
731 1298 16
438 2341 12
3005 341 15
3325 2497 16
764 118 11
3393 937 8
2773 1912 14
388 623 13
3465 3490 16
1010 1161 9
1444 222 16
2338 1216 9
2927 3255 14
1261 643 10
3173 3010 14
3020 3499 14
1684 701 9
1601 840 8
484 2043 9
1586 2767 11
2441 2369 9
258 2082 14
604 2184 16
2418 2528 8
518 3438 14
545 2853 10
968 1187 15
2120 2232 11
1293 2528 12
889 2783 16
527 2788 9
1189 2551 15
819 219 14
2863 397 14
2953 3185 9
1880 1228 15
988 2016 8
3400 3273 11
3396 30 10
2357 116 9
1212 1142 12
2069 1268 16
1127 378 8
1604 3399 15
543 3381 16
935 592 11
170 2068 15
1150 1347 12
1583 921 14
616 2910 8
558 505 13
776 1038 16
1816 1082 9
404 2208 10
632 213 15
1802 3174 11
549 1567 14
3240 3086 12
1561 1912 13
1553 1151 13
1334 1762 12
1056 2859 8
431 3193 11
355 681 11
3026 395 14
381 979 8
1266 1805 10
2191 3294 13
2234 1918 9
12 2163 8
2009 2590 10
2147 2633 12
1949 704 9
3469 521 11
1571 621 15
2333 1273 14
2765 2914 12
1480 1662 11
2925 1232 9
3050 1123 8
687 500 14
218 2950 14
1638 152 8
2296 2208 14
1461 3473 8
196 1041 13
474 2118 11
2220 2007 11
845 1722 15
942 2685 13
421 731 11
2782 3359 15
1279 2614 11
994 2251 15
3282 1818 9
1059 1120 9
2807 186 14
2351 1960 10
1845 2725 8
2410 2797 8
2240 473 12
1340 1029 9
138 1098 12
277 1592 16
2521 2904 15
2270 3046 9
992 2331 8
17 2799 14
3080 934 8
880 356 14
694 1938 13
2562 109 8
2464 1497 8
1737 1855 15
3069 2798 9
2546 941 16
1081 1883 10
107 1628 12
655 2917 14
1613 1952 10
217 3220 15
2824 3373 13
541 3434 10
2722 1000 9
1117 1093 14
2417 646 9
2456 804 14
2575 881 15
1299 734 12
1921 1305 11
3392 2227 11
2711 22 8
3350 2852 12
1317 1292 15
3466 1912 9
2374 325 16
1797 135 8
2289 2724 12
179 181 12
1363 2907 14
2660 1621 11
2221 1884 15
436 149 9
3013 2688 11
250 1994 14
2701 3183 15
3334 1990 16
1791 340 8
156 2492 15
2488 2674 11
2100 2785 15
1109 1432 16
2767 46 14
3168 2929 15
265 1574 11
1045 277 8
1669 1406 12
586 2142 8
301 438 10
3447 675 13
2078 982 10
831 1114 14
1062 3219 13
803 150 13
256 2079 8
1444 31 16
190 1905 15
3458 1229 8
289 99 10
1768 2763 8
1873 2667 12
3288 2846 8
841 330 11
664 306 8
1818 3144 8
738 3001 10
2456 1762 8
3050 3215 12
450 5 11
273 1826 14
3243 751 13
266 615 8
447 492 12
1638 327 10
1409 251 14
2789 1649 10
2237 480 11
347 2953 15
1350 2969 13
1916 860 10
1677 1359 8
1690 2605 12
2931 2657 15
2069 469 16
1677 304 9
3038 1623 13
2194 569 16
3459 2884 13
