10 200
240 145 301
749 1240 276
766 426 221
1144 1388 193
44 1124 201
1222 87 265
171 484 318
108 1009 335
75 1023 204
56 13 203
695 97 15
458 1338 10
1104 44 14
1254 316 16
348 973 14
275 1357 10
1078 1039 10
1137 600 16
824 383 15
1096 603 9
1002 757 8
160 435 16
8 782 16
1194 1355 9
2 1112 11
87 759 13
312 481 16
225 380 11
99 127 13
33 662 15
1176 57 12
1184 1293 16
352 935 9
1361 980 11
1155 953 8
1229 992 8
651 491 10
448 1104 10
57 360 14
148 733 14
951 831 9
1325 854 14
1011 166 10
805 510 10
861 1342 8
1107 361 15
269 422 16
1003 1358 13
146 1267 15
359 450 12
285 397 16
591 1093 9
1184 449 15
1369 1011 8
38 15 10
1091 77 13
664 908 15
533 1379 12
1348 789 14
208 1077 10
118 855 12
542 1034 9
639 837 12
898 246 12
256 42 11
119 1071 11
1004 1042 11
703 478 8
548 697 12
218 1000 13
943 243 15
852 207 12
283 424 15
970 153 10
1332 303 9
569 929 11
405 248 14
635 691 13
887 885 16
171 1019 11
684 1042 12
1320 216 13
670 620 10
1329 1300 13
102 977 9
127 141 10
1204 1095 14
862 169 15
703 44 16
610 1206 11
607 979 13
419 88 14
78 725 16
255 317 12
423 421 8
243 510 9
868 979 8
48 779 8
248 587 13
140 1022 14
1352 98 11
443 376 9
1070 633 8
625 1331 16
112 393 15
274 697 11
435 181 15
838 1277 9
1093 722 9
27 957 11
24 536 16
743 351 14
287 623 13
925 155 8
229 736 9
205 788 9
1021 227 11
130 1111 10
383 87 8
205 1346 16
1029 862 8
154 535 10
840 371 8
326 540 8
380 356 12
606 1318 16
1318 409 11
875 388 10
203 517 11
323 1152 9
33 203 16
186 1323 8
1300 10 10
478 307 9
394 599 11
710 952 15
857 1193 8
581 212 9
923 422 11
105 1315 15
748 1102 8
284 14 8
1344 668 8
109 1388 16
72 558 14
60 371 12
2 15 12
53 909 12
1098 211 14
322 1152 11
393 988 15
863 967 12
195 864 14
935 229 14
618 139 15
553 655 13
1177 990 14
809 766 8
674 674 11
607 184 12
1094 771 8
814 372 14
264 1304 16
736 721 14
1355 895 16
166 288 11
64 157 8
1305 293 10
1376 111 14
23 53 9
882 606 11
1140 1221 14
789 874 10
996 1194 16
1189 626 8
487 1126 13
1021 715 13
106 724 8
425 1172 9
1191 653 11
866 1174 10
422 351 9
216 1265 15
959 483 8
957 517 8
891 801 8
1132 321 12
1328 760 13
372 1243 8
239 804 9
763 844 14
1136 1054 10
1350 1159 9
1011 359 8
388 919 12
1189 30 16
690 20 11
497 228 10
882 196 15
730 809 8
627 961 14
604 553 11
795 350 15
1368 1062 11
514 128 15
894 530 9
394 1220 10
20 729 10
1093 982 12
408 74 9
