50 1000
6810 260 221
3190 6028 172
1794 2127 328
5861 3471 311
5391 1219 194
1773 868 308
6541 6331 193
6031 2529 208
1078 5500 289
2714 2700 199
4120 2161 181
3601 3209 286
2052 3030 307
1343 4639 258
4388 5337 183
1467 1350 234
5733 3916 249
2573 589 305
4716 3126 209
6201 4623 187
2314 1848 180
4041 2750 191
3558 4230 209
4223 3567 276
2792 1144 283
4104 954 228
5676 6054 272
761 1077 293
6831 1019 235
5417 3756 211
4895 5438 255
1851 5692 327
5768 177 193
5765 1043 331
1029 5812 229
4911 5351 279
693 2124 254
6070 3166 202
2215 4418 193
873 6060 272
2824 3102 296
2581 6975 198
1149 3292 208
3349 5728 240
3165 3468 279
5709 5278 303
5716 5950 220
3210 1172 298
893 2090 188
5978 6784 232
2046 2696 16
2027 149 16
4092 4198 14
3742 3995 9
2964 1326 9
892 6898 12
5551 228 14
445 1786 16
5234 6409 12
3587 432 15
2768 3412 14
3356 3541 12
1056 5842 9
2165 2614 16
6082 4590 16
5180 6274 13
3605 3116 15
6048 3535 16
181 4936 16
1994 5954 13
6930 6028 12
6738 22 16
6991 6364 13
2539 3353 10
4868 6902 13
6362 376 8
2493 5255 15
6686 1646 11
6807 98 12
2046 2515 16
6329 4942 10
139 6288 8
212 4899 12
1653 1583 13
5079 1057 13
4655 4815 11
949 6468 11
4308 808 10
4468 906 8
4318 6834 15
6877 2960 8
1086 3582 9
4726 1942 15
6849 4183 12
5520 4419 13
3486 1524 16
5174 2677 9
3845 5880 16
5142 543 9
5772 5015 8
5351 5878 11
1279 5170 8
5796 6028 13
2847 5900 14
3942 5726 11
5908 3201 14
5700 5887 14
4534 545 13
5878 4627 13
1908 1374 16
5989 3106 10
1254 2941 13
6450 1170 11
5756 3044 9
3914 5309 8
4574 1279 14
375 4501 16
716 6306 11
3762 1116 12
113 6757 14
6076 6725 14
1621 1819 13
1762 2837 9
3258 1435 8
6829 757 16
527 2321 14
581 4014 8
5343 3680 15
2408 1234 16
3039 2395 10
6017 181 13
6826 3589 16
800 3689 15
5834 3263 8
4962 4085 10
1581 130 8
6182 3603 8
2220 6359 12
