15 50
46 215 21
39 79 35
78 246 35
132 246 26
25 25 24
207 180 28
126 31 23
34 297 26
274 179 23
13 22 39
49 129 38
77 313 34
147 88 32
234 184 27
119 331 25
125 147 8
185 24 7
262 266 9
345 145 9
48 35 9
168 5 10
257 205 10
106 133 5
92 331 6
93 211 6
252 300 6
84 3 8
327 155 5
235 173 5
33 204 6
306 15 7
7 190 7
97 204 9
26 348 6
146 162 10
262 316 5
255 13 8
252 312 9
82 20 5
27 156 6
115 176 7
20 185 5
190 236 8
281 108 6
4 132 10
69 138 7
154 96 8
148 51 9
176 249 6
18 326 7
144 29 10
45 77 8
176 276 5
27 313 9
153 267 10
94 303 8
229 346 8
243 229 7
115 322 9
247 211 6
334 128 8
37 236 6
42 108 8
303 121 10
298 52 6
