5 50
196 258 79
107 299 101
172 45 97
106 317 80
181 143 102
42 282 6
188 62 5
260 21 6
261 328 10
349 234 7
122 183 5
179 301 5
19 130 7
298 176 7
90 91 10
260 23 5
294 62 6
296 311 10
40 288 7
33 213 7
297 320 9
302 90 5
190 333 7
38 216 6
22 133 6
39 268 8
131 129 6
184 278 5
214 45 5
309 340 10
88 305 5
127 112 6
199 63 9
96 256 10
232 214 10
91 98 9
192 40 6
49 214 10
327 82 10
85 288 5
141 312 10
330 61 10
0 232 5
253 220 9
326 68 9
12 81 10
339 214 7
242 100 6
163 161 7
215 267 5
307 98 6
159 2 7
48 98 10
14 145 6
113 160 9
